scanned_at,strategy,sport,market,line,home,away,kickoff,side,book,odds,impl_raw,impl_effective,edge,edge_gross,effective_odds,commission_rate,consensus,pinnacle_cons,n_books,confidence,model_signal,dispersion,outlier_z,devig_method,weight_scheme,stake,pinnacle_close_prob,clv_pct
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,Arsenal,Fulham,2026-05-02 16:30,HOME,coral,1.48,0.6757,0.6757,0.0003,0.0237,1.48,0.0,0.676,0.679,41,HIGH,-0.370,0.0096,0.0,shin,uniform,0.5,,
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,Tottenham Hotspur,Leeds United,2026-05-11 19:00,HOME,sport888,2.15,0.4651,0.4651,-0.0076,0.0217,2.15,0.0,0.4575,0.4515,31,HIGH,-0.043,0.0144,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,Nottingham Forest,Newcastle United,2026-05-10 13:00,DRAW,smarkets,3.55,0.2817,0.2858,-0.0192,0.0394,3.499,0.02,0.2666,0.2765,31,HIGH,+0.030,0.0102,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,West Ham United,Arsenal,2026-05-10 15:30,DRAW,smarkets,4.1,0.2439,0.2476,-0.0214,0.1034,4.038,0.02,0.2263,0.23,31,HIGH,+0.237,0.02,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,Fulham,Bournemouth,2026-05-09 14:00,DRAW,smarkets,3.7,0.2703,0.2743,-0.0234,0.0447,3.646,0.02,0.2509,0.259,32,HIGH,+0.028,0.0104,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,Tottenham Hotspur,Leeds United,2026-05-11 19:00,DRAW,smarkets,3.6,0.2778,0.2818,-0.0249,0.0274,3.548,0.02,0.2569,0.2606,31,HIGH,-0.082,0.0076,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,West Ham United,Arsenal,2026-05-10 15:30,AWAY,smarkets,1.66,0.6024,0.6072,-0.0274,0.143,1.6468,0.02,0.5798,0.5852,31,HIGH,-0.245,0.028,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,Fulham,Bournemouth,2026-05-09 14:00,AWAY,smarkets,2.52,0.3968,0.4017,-0.0318,0.0443,2.4896,0.02,0.3699,0.369,32,HIGH,+0.024,0.009,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,Nottingham Forest,Newcastle United,2026-05-10 13:00,HOME,smarkets,2.38,0.4202,0.4251,-0.0363,0.0293,2.3524,0.02,0.3888,0.3843,31,HIGH,-0.102,0.007,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,EPL,h2h,,Brentford,West Ham United,2026-05-02 14:00,HOME,betfair_sb_uk,1.91,0.5236,0.5236,-0.0367,0.0248,1.91,0.0,0.4868,0.4874,41,HIGH,-0.168,0.0075,0.0,shin,uniform,0.0,,
