scanned_at,strategy,sport,market,line,home,away,kickoff,side,book,odds,impl_raw,impl_effective,edge,edge_gross,effective_odds,commission_rate,consensus,pinnacle_cons,n_books,confidence,model_signal,dispersion,outlier_z,stake,pinnacle_close_prob,clv_pct
2026-04-29 13:12 UTC,G_proportional,EPL,h2h,,West Ham United,Arsenal,2026-05-10 15:30,DRAW,smarkets,4.1,0.2439,0.2476,-0.0153,0.0644,4.038,0.02,0.2323,0.234,31,HIGH,+0.237,0.013,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,EPL,h2h,,Nottingham Forest,Newcastle United,2026-05-10 13:00,DRAW,smarkets,3.55,0.2817,0.2858,-0.0159,0.0307,3.499,0.02,0.2699,0.2785,31,HIGH,+0.030,0.0086,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,EPL,h2h,,Tottenham Hotspur,Leeds United,2026-05-11 19:00,HOME,smarkets,2.16,0.463,0.468,-0.0161,0.0519,2.1368,0.02,0.4519,0.4473,31,HIGH,-0.041,0.0141,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,EPL,h2h,,Fulham,Bournemouth,2026-05-09 14:00,DRAW,smarkets,3.7,0.2703,0.2743,-0.0193,0.0322,3.646,0.02,0.255,0.2617,32,HIGH,+0.028,0.0084,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,EPL,h2h,,Fulham,Bournemouth,2026-05-09 14:00,AWAY,smarkets,2.52,0.3968,0.4017,-0.0334,0.0413,2.4896,0.02,0.3683,0.3677,32,HIGH,+0.024,0.0084,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,EPL,h2h,,West Ham United,Arsenal,2026-05-10 15:30,AWAY,smarkets,1.66,0.6024,0.6072,-0.0392,0.1533,1.6468,0.02,0.5681,0.5757,31,HIGH,-0.245,0.0294,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,EPL,h2h,,Brentford,West Ham United,2026-05-02 14:00,HOME,betfair_sb_uk,1.91,0.5236,0.5236,-0.043,0.0326,1.91,0.0,0.4806,0.4836,41,HIGH,-0.168,0.0077,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,EPL,h2h,,Arsenal,Fulham,2026-05-02 16:30,HOME,betfair_sb_uk,1.4,0.7143,0.7143,-0.0524,0.0325,1.4,0.0,0.6619,0.6697,41,HIGH,-0.409,0.0108,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Bundesliga,h2h,,Augsburg,Borussia Monchengladbach,2026-05-09 13:30,DRAW,smarkets,3.7,0.2703,0.2743,-0.0133,0.0321,3.646,0.02,0.261,0.266,31,HIGH,+0.079,0.0076,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Bundesliga,h2h,,Bayern Munich,1. FC Heidenheim,2026-05-02 13:30,HOME,betfair_sb_uk,1.22,0.8197,0.8197,-0.0489,0.0302,1.22,0.0,0.7708,0.7701,41,HIGH,-0.189,0.009,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Bundesliga,h2h,,FSV Mainz 05,Union Berlin,2026-05-10 17:30,DRAW,smarkets,3.3,0.303,0.3073,-0.0559,0.0439,3.254,0.02,0.2515,0.2528,30,HIGH,?,0.0111,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Bundesliga,h2h,,FSV Mainz 05,Union Berlin,2026-05-10 17:30,HOME,smarkets,1.4,0.7143,0.7184,-0.1985,0.0306,1.392,0.02,0.5199,0.5193,30,HIGH,?,0.011,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Serie A,h2h,,Atalanta BC,Genoa,2026-05-02 18:45,HOME,betfair_sb_uk,1.57,0.6369,0.6369,-0.0482,0.0365,1.57,0.0,0.5887,0.5979,41,HIGH,?,0.0088,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Ligue 1,h2h,,Angers,Strasbourg,2026-05-10 19:00,AWAY,smarkets,2.12,0.4717,0.4767,-0.0136,0.0319,2.0976,0.02,0.4632,0.4467,25,MED,+0.085,0.0233,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Ligue 1,h2h,,Nice,RC Lens,2026-05-02 19:05,AWAY,betfair_sb_uk,1.73,0.578,0.578,-0.0385,0.0319,1.73,0.0,0.5395,0.5423,41,HIGH,-0.060,0.0073,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Ligue 1,h2h,,Paris Saint Germain,Lorient,2026-05-02 15:00,HOME,betfair_sb_uk,1.25,0.8,0.8,-0.0672,0.0309,1.25,0.0,0.7328,0.7417,41,HIGH,-0.061,0.0118,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Bundesliga 2,h2h,,Elversberg,SC Paderborn,2026-05-03 11:30,DRAW,smarkets,3.95,0.2532,0.257,-0.0136,0.0389,3.891,0.02,0.2434,0.2365,38,HIGH,?,0.0082,0.0,0.0,,
2026-04-29 13:12 UTC,G_proportional,Bundesliga 2,h2h,,Karlsruher SC,SV Darmstadt 98,2026-05-03 11:30,AWAY,betfair_ex_uk,2.16,0.463,0.4757,-0.0615,0.1733,2.102,0.05,0.4142,0.4215,38,HIGH,-0.028,0.0297,0.0,0.0,,
